DATE,STATE,PERMITS
2014-01-01,Chatham,587.0
2015-01-01,Chatham,596.0
2016-01-01,Chatham,707.0
2017-01-01,Chatham,748.0
2018-01-01,Chatham,710.0
2019-01-01,Chatham,902.0
2014-01-01,Camden,20.0
2015-01-01,Camden,20.0
2016-01-01,Camden,36.0
2017-01-01,Camden,52.0
2018-01-01,Camden,81.0
2019-01-01,Camden,83.0
2014-01-01,Cabarrus,1554.0
2015-01-01,Cabarrus,1763.0
2016-01-01,Cabarrus,1918.0
2017-01-01,Cabarrus,1657.0
2018-01-01,Cabarrus,2021.0
2019-01-01,Cabarrus,2714.0
2014-01-01,Buncombe,1312.0
2015-01-01,Buncombe,1353.0
2016-01-01,Buncombe,2422.0
2017-01-01,Buncombe,1900.0
2018-01-01,Buncombe,1667.0
2019-01-01,Buncombe,2096.0
2014-01-01,Brunswick,1973.0
2015-01-01,Brunswick,2325.0
2016-01-01,Brunswick,2428.0
2017-01-01,Brunswick,3342.0
2018-01-01,Brunswick,2926.0
2019-01-01,Brunswick,3352.0
2014-01-01,Bertie,20.0
2015-01-01,Bertie,18.0
2016-01-01,Bertie,25.0
2017-01-01,Bertie,12.0
2018-01-01,Bertie,11.0
2019-01-01,Bertie,19.0
2014-01-01,Bladen,80.0
2015-01-01,Bladen,42.0
2016-01-01,Bladen,41.0
2017-01-01,Bladen,41.0
2018-01-01,Bladen,31.0
2019-01-01,Bladen,52.0
2014-01-01,Beaufort,170.0
2015-01-01,Beaufort,148.0
2016-01-01,Beaufort,216.0
2017-01-01,Beaufort,179.0
2018-01-01,Beaufort,140.0
2019-01-01,Beaufort,162.0
2014-01-01,Avery,44.0
2015-01-01,Avery,47.0
2016-01-01,Avery,90.0
2017-01-01,Avery,92.0
2018-01-01,Avery,118.0
2019-01-01,Avery,131.0
2014-01-01,Ashe,75.0
2015-01-01,Ashe,77.0
2016-01-01,Ashe,84.0
2017-01-01,Ashe,95.0
2018-01-01,Ashe,94.0
2019-01-01,Ashe,115.0
2014-01-01,Alleghany,17.0
2015-01-01,Alleghany,17.0
2016-01-01,Alleghany,29.0
2017-01-01,Alleghany,18.0
2018-01-01,Alleghany,39.0
2019-01-01,Alleghany,49.0
2014-01-01,Anson,33.0
2015-01-01,Anson,36.0
2016-01-01,Anson,41.0
2017-01-01,Anson,43.0
2018-01-01,Anson,45.0
2019-01-01,Anson,47.0
2014-01-01,Alamance,606.0
2015-01-01,Alamance,1032.0
2016-01-01,Alamance,1353.0
